,music,hastag_data,author_follower,author_heart,play
402,SHIMMY SONGTRADR 30 HIT WONDER,antigaptek,248700,2900000,15800
403,original sound - Joerdy.s,antigaptek,965500,29900000,76800
404,suara asli - Kohcun,antigaptek,536900,8100000,134100
405,Swear By It,antigaptek,131200,1800000,24900
406,Wolfgang Dance,antigaptek,33400,816200,475500
407,DJ pudin026,antigaptek,900400,14200000,8457
408,Lazy Sunday,antigaptek,11900,135100,17600
409,BREATHE,antigaptek,23500,602900,14400
410,Monkeys Spinning Monkeys,antigaptek,750700,20300000,72600
411,No Rules,antigaptek,47500,496600,79900
412,Sam Kim Love Me Like That,antigaptek,67600,2400000,455500
413,The Big Day,antigaptek,307700,912300,124700
414,Asian style warm tropical house,antigaptek,87800,2200000,81800
415,Sneaky Snitch,antigaptek,327900,9800000,265700
416,A moist healing song,antigaptek,102400,876100,77100
417,Squidville,antigaptek,45100,865300,262500
418,Only Me Remix,antigaptek,144100,3200000,19600
419,original sound - ilhm,antigaptek,501500,15300000,3700000
420,Pieces (Solo Piano Version),antigaptek,11300,151000,13400
421,Lazy Sunday,antigaptek,48000,704100,312300
422,SOL SAN JUAN,antigaptek,57400,444900,13100
423,Wolfgang Dance,antigaptek,900400,14200000,7591
424,Only Me Remix,antigaptek,57400,444900,2281
425,DJ pudin026,antigaptek,900400,14200000,9595
426,Acoustic guitar live performance Gentle and nimble in nature(1007339),antigaptek,218400,7800000,94500
427,Make your own version,antigaptek,699800,18700000,18300
428,Hip Hop with impressive piano sound(793766),antigaptek,131200,1800000,23100
429,Pieces (Solo Piano Version),antigaptek,52400,1100000,15400
430,Squidville,antigaptek,131200,1800000,24500
431,PAJAMA PARTY,antigaptek,47500,496600,39900
432,Steven Universe,antigaptek,493800,15300000,10400000
433,Lazy Sunday,antigaptek,101900,1400000,32400
434,original sound - DK ID,antigaptek,248700,2900000,5758
435,sweet scar slow,antigaptek,57400,444900,667100
436,original sound,antigaptek,699800,18700000,123500
437,Panah Asmara,antigaptek,327900,9800000,8344
438,JEDAG JEDUG KARNA KAMU CEPAK JEDER,antigaptek,906400,11400000,25900
439,Say So (Instrumental Version) [Originally Performed by Doja Cat],antigaptek,750700,20300000,172300
440,Milk Tea,antigaptek,501500,15300000,16900
441,Dinda Cover,antigaptek,282700,2100000,6360
442,DINDA RMX,antigaptek,169200,5600000,3938
443,Future,antigaptek,67600,2400000,5165
444,Canon in D Keroncong Version,antigaptek,536900,8100000,688100
445,Skate,antigaptek,493800,15300000,42700
446,Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3,antigaptek,493800,15300000,1600000
447,MONEY,antigaptek,13100,149600,28000
448,suara asli - S.dmplii03,antigaptek,900400,14200000,35300
449,Hip Hop with impressive piano sound(793766),antigaptek,19100,233600,30000
